Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Angus, Charlie;1962-11-13;MP (2004/06/28 - );Timmins--James Bay (2004/06/28 - );Ontario;M;New Democratic Party (2004/06/28 - )
Angus, W. David;1937-07-20;Senator (1993/06/10 - 2012/07/21);Alma (1993/06/10 - 2012/07/21);Quebec;M;"Conservative Party of Canada (2004/02/02 - 2012/07/21)
Progressive Conservative Party (1993/06/10 - 2004/02/01)"
Asselin, Gérard;1950-04-18;"MP (2004/06/28 - 2011/05/01)
MP (1993/10/25 - 2004/06/27)";"Manicouagan (2004/06/28 - 2011/05/01)
Charlevoix (1993/10/25 - 2004/06/27)";"Quebec
Quebec";M;Bloc Québécois (1993/10/25 - 2011/05/01)
Atkins, Norman K.;1934-06-26;Senator (1986/06/30 - 2009/06/27);Markham (1986/06/30 - 2009/06/27);Ontario;M;Progressive Conservative Party (1986/06/30 - 2009/06/27)
Augustine, Jean;1937-09-08;MP (1993/10/25 - 2006/01/22);Etobicoke--Lakeshore (1993/10/25 - 2006/01/22);Ontario;F;Liberal Party of Canada (1993/10/25 - 2006/01/22)
Austin, Jack;1932-03-01;Senator (1975/08/19 - 2007/03/02);Vancouver South (1975/08/19 - 2007/03/02);British Columbia;M;Liberal Party of Canada (1975/08/19 - 2007/03/02)
Bachand, Claude;1951-01-02;MP (1993/10/25 - 2011/05/01);Saint-Jean (1993/10/25 - 2011/05/01);Quebec;M;Bloc Québécois (1993/10/25 - 2011/05/01)
Bacon, Lise;1934-08-24;Senator (1994/09/15 - 2009/08/25);De la Durantaye (1994/09/15 - 2009/08/25);Quebec;F;Liberal Party of Canada (1994/09/15 - 2009/08/25)
Bagnell, Larry;1949-12-18;"MP (2015/10/19 - )
MP (2000/11/27 - 2011/05/01)";"Yukon (2015/10/19 - )
Yukon (2000/11/27 - 2011/05/01)";"Yukon
Yukon";M;"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2000/11/27 - 2011/05/01)"
Bains, Navdeep Singh;1977-06-15;"MP (2015/10/19 - )
MP (2004/06/28 - 2011/05/01)";"Mississauga--Malton (2015/10/19 - )
Mississauga--Brampton South (2004/06/28 - 2011/05/01)";"Ontario
Ontario";M;"Liberal Party of Canada (2015/10/19 - )
Liberal Party of Canada (2004/06/28 - 2011/05/01)"
Baker, George;1942-09-02;"MP (1988/11/21 - 2002/03/25)
MP (1974/07/08 - 1988/11/20)
Senator (2002/03/26 - 2017/09/03)";"Newfoundland and Labrador (2002/03/26 - 2017/09/03)
Gander--Grand Falls (1988/11/21 - 2002/03/25)
Gander--Twillingate (1974/07/08 - 1988/11/20)";"Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador";M;Liberal Party of Canada (1972/10/30 - 2017/09/03)
Bakopanos, Eleni;1954-05-09;"MP (1997/06/02 - 2006/01/22)
MP (1993/10/25 - 1997/06/01)";"Ahuntsic (1997/06/02 - 2006/01/22)
Saint-Denis (1993/10/25 - 1997/06/01)";"Quebec
Quebec";F;Liberal Party of Canada (1993/10/25 - 2006/01/22)
Banks, Tommy;1936-12-16;Senator (2000/04/07 - 2011/12/17);Alberta (2000/04/07 - 2011/12/17);Alberta;M;Liberal Party of Canada (2000/04/07 - 2011/12/17)
Barnes, Susan (Sue);1952-09-07;MP (1993/10/25 - 2008/10/13);London West (1993/10/25 - 2008/10/13);Ontario;F;Liberal Party of Canada (1993/10/25 - 2008/10/13)
Batters, Dave;1969-07-11;MP (2004/06/28 - 2008/10/13);Palliser (2004/06/28 - 2008/10/13);Saskatchewan;M;Conservative Party of Canada (2004/06/28 - 2008/10/13)
Beaumier, Colleen;1944-11-07;"MP (2004/06/28 - 2008/10/13)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)";"Brampton West (2004/06/28 - 2008/10/13)
Brampton West--Mississauga (1997/06/02 - 2004/06/27)
Brampton (1993/10/25 - 1997/06/01)";"Ontario
Ontario
Ontario";F;Liberal Party of Canada (1993/10/25 - 2008/10/13)
Bélanger, Mauril;1955-06-14;MP (1995/02/13 - 2016/08/15);Ottawa--Vanier (1995/02/13 - 2016/08/15);Ontario;M;Liberal Party of Canada (1995/02/13 - 2016/08/15)
Bell, Don;1942-03-09;MP (2004/06/28 - 2008/10/13);North Vancouver (2004/06/28 - 2008/10/13);British Columbia;M;Liberal Party of Canada (2004/06/28 - 2008/10/13)
Bellavance, André;1964-06-02;MP (2004/06/28 - 2015/10/18);Richmond--Arthabaska (2004/06/28 - 2015/10/18);Quebec;M;"Independent (2014/08/25 - 2015/10/18)
Bloc Québécois (2004/06/28 - 2014/08/24)"
Bennett, Carolyn;1950-12-19;"MP (2015/10/19 - )
MP (1997/06/02 - 2015/10/18)";"Toronto--St. Paul's (2015/10/19 - )
St. Paul's (1997/06/02 - 2015/10/18)";"Ontario
Ontario";F;Liberal Party of Canada (1997/06/02 - )
Benoit, Leon Earl;1950-07-06;"MP (2004/06/28 - 2015/10/18)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)";"Vegreville--Wainwright (2004/06/28 - 2015/10/18)
Lakeland (1997/06/02 - 2004/06/27)
Vegreville (1993/10/25 - 1997/06/01)";"Alberta
Alberta
Alberta";M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Bergeron, Stéphane;1965-01-27;"MP (2019/10/21 - )
MP (1998/06/18 - 2005/11/09)
MP (1993/10/25 - 1998/06/17)";"Montarville (2019/10/21 - )
Verchères--Les Patriotes (1998/06/18 - 2005/11/09)
Verchères (1993/10/25 - 1998/06/17)";"Quebec
Quebec
Quebec";M;"Bloc Québécois (2019/10/21 - )
Bloc Québécois (1993/10/25 - 2005/11/09)"
Bevilacqua, Maurizio;1960-05-31;"MP (2004/06/28 - 2010/09/02)
MP (1997/06/02 - 2004/06/27)
MP (1990/12/10 - 1997/06/01)
MP (1988/11/21 - 1990/06/07)";"Vaughan (2004/06/28 - 2010/09/02)
Vaughan--King--Aurora (1997/06/02 - 2004/06/27)
York North (1990/12/10 - 1997/06/01)
York North (1988/11/21 - 1990/06/07)";"Ontario
Ontario
Ontario
Ontario";M;"Liberal Party of Canada (1990/12/10 - 2010/09/02)
Liberal Party of Canada (1988/11/21 - 1990/06/07)"
Bezan, James;1965-05-18;"MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)";"Selkirk--Interlake--Eastman (2015/10/19 - )
Selkirk--Interlake (2004/06/28 - 2015/10/18)";"Manitoba
Manitoba";M;Conservative Party of Canada (2004/06/28 - )
Bigras, Bernard;1969-06-03;"MP (2004/06/28 - 2011/05/01)
MP (2000/06/29 - 2004/06/27)
MP (1997/06/02 - 2000/06/28)";"Rosemont--La Petite-Patrie (2004/06/28 - 2011/05/01)
Rosemont--Petite-Patrie (2000/06/29 - 2004/06/27)
Rosemont (1997/06/02 - 2000/06/28)";"Quebec
Quebec
Quebec";M;Bloc Québécois (1997/06/02 - 2011/05/01)
Biron, Michel;1934-03-15;Senator (2001/10/04 - 2009/03/16);Mille Isles (2001/10/04 - 2009/03/16);Quebec;M;Liberal Party of Canada (2001/10/04 - 2009/03/16)
Blaikie, William Alexander (Bill);1951-06-18;"MP (2004/06/28 - 2008/10/13)
MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1997/06/01)
MP (1979/05/22 - 1988/11/20)";"Elmwood--Transcona (2004/06/28 - 2008/10/13)
Winnipeg--Transcona (1997/06/02 - 2004/06/27)
Winnipeg Transcona (1988/11/21 - 1997/06/01)
Winnipeg--Birds Hill (1979/05/22 - 1988/11/20)";"Manitoba
Manitoba
Manitoba
Manitoba";M;New Democratic Party (1979/05/22 - 2008/10/13)
Blais, Raynald;1954-01-04;MP (2004/06/28 - 2011/05/01);Gaspésie--Îles-de-la-Madeleine (2004/06/28 - 2011/05/01);Quebec;M;Bloc Québécois (2004/06/28 - 2011/05/01)
Blondin-Andrew, Ethel Dorothy;1951-03-24;MP (1988/11/21 - 2006/01/22);Western Arctic (1988/11/21 - 2006/01/22);Northwest Territories;F;Liberal Party of Canada (1988/11/21 - 2006/01/22)
Boire, Alain;1971-06-22;MP (2004/06/28 - 2006/01/22);Beauharnois--Salaberry (2004/06/28 - 2006/01/22);Quebec;M;Bloc Québécois (2004/06/28 - 2006/01/23)
Boivin, Françoise;1960-06-10;"MP (2011/05/02 - 2015/10/18)
MP (2004/06/28 - 2006/01/22)";"Gatineau (2011/05/02 - 2015/10/18)
Gatineau (2004/06/28 - 2006/01/22)";"Quebec
Quebec";F;"New Democratic Party (2011/05/02 - 2015/10/18)
Liberal Party of Canada (2004/06/28 - 2006/01/23)"
Bonin, Raymond;1942-11-19;MP (1993/10/25 - 2008/10/13);Nickel Belt (1993/10/25 - 2008/10/13);Ontario;M;Liberal Party of Canada (1993/10/25 - 2008/10/13)
Bonsant, France;1952-08-17;MP (2004/06/28 - 2011/05/01);Compton--Stanstead (2004/06/28 - 2011/05/01);Quebec;F;Bloc Québécois (2004/06/28 - 2011/05/01)
Boshcoff, Ken;1949-06-19;MP (2004/06/28 - 2008/10/13);Thunder Bay--Rainy River (2004/06/28 - 2008/10/13);Ontario;M;Liberal Party of Canada (2004/06/28 - 2008/10/13)
Bouchard, Robert;1943-03-29;MP (2004/06/28 - 2011/05/01);Chicoutimi--Le Fjord (2004/06/28 - 2011/05/01);Quebec;M;Bloc Québécois (2004/06/28 - 2011/05/01)
Boudria, Don;1949-08-29;MP (1984/09/04 - 2006/01/22);Glengarry--Prescott--Russell (1984/09/04 - 2006/01/22);Ontario;M;Liberal Party of Canada (1984/09/04 - 2006/01/23)
Boulianne, Marc;1941-10-08;MP (2004/06/28 - 2006/01/22);Mégantic--L'Érable (2004/06/28 - 2006/01/22);Quebec;M;Bloc Québécois (2004/06/28 - 2006/01/23)
Bourgeois, Diane;1949-11-13;MP (2000/11/27 - 2011/05/01);Terrebonne--Blainville (2000/11/27 - 2011/05/01);Quebec;F;Bloc Québécois (2000/11/27 - 2011/05/01)
Bradshaw, Claudette;1949-04-07;"MP (1998/06/18 - 2006/01/22)
MP (1997/06/02 - 1998/06/17)";"Moncton--Riverview--Dieppe (1998/06/18 - 2006/01/22)
Moncton (1997/06/02 - 1998/06/17)";"New Brunswick
New Brunswick";F;Liberal Party of Canada (1997/06/02 - 2006/01/22)
Breitkreuz, Garry W.;1945-10-20;MP (1993/10/25 - 2015/10/18);Yorkton--Melville (1993/10/25 - 2015/10/18);Saskatchewan;M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Brison, Scott;1967-05-09;"MP (2000/11/27 - 2019/02/10)
MP (1997/06/02 - 2000/07/24)";"Kings--Hants (2000/11/27 - 2019/02/10)
Kings--Hants (1997/06/02 - 2000/07/24)";"Nova Scotia
Nova Scotia";M;"Liberal Party of Canada (2003/12/11 - 2019/02/10)
Progressive Conservative Party (2000/11/27 - 2003/12/10)
Progressive Conservative Party (1997/06/02 - 2000/07/24)"
Broadbent, John Edward;1936-03-20;"MP (2004/06/28 - 2006/01/22)
MP (1979/05/22 - 1989/12/31)
MP (1968/06/25 - 1979/05/21)";"Ottawa Centre (2004/06/28 - 2006/01/22)
Oshawa (1979/05/22 - 1989/12/31)
Oshawa--Whitby (1968/06/25 - 1979/05/21)";"Ontario
Ontario
Ontario";M;"New Democratic Party (2004/06/28 - 2006/01/22)
New Democratic Party (1968/06/25 - 1989/12/31)"
Brown, Bonnie;1941-03-01;"MP (1997/06/02 - 2008/10/13)
MP (1993/10/25 - 1997/06/01)";"Oakville (1997/06/02 - 2008/10/13)
Oakville--Milton (1993/10/25 - 1997/06/01)";"Ontario
Ontario";F;Liberal Party of Canada (1993/10/25 - 2008/10/13)
Brown, Gordon;1960-08-30;"MP (2015/10/19 - 2018/05/02)
MP (2004/06/28 - 2015/10/18)";"Leeds--Grenville--Thousand Islands and Rideau Lakes (2015/10/19 - 2018/05/02)
Leeds--Grenville (2004/06/28 - 2015/10/18)";"Ontario
Ontario";M;Conservative Party of Canada (2004/06/28 - 2018/05/02)
Brunelle, Paule;1953-08-20;MP (2004/06/28 - 2011/05/01);Trois-Rivières (2004/06/28 - 2011/05/01);Quebec;F;Bloc Québécois (2004/06/28 - 2011/05/01)
Bryden, John G.;1937-08-24;Senator (1994/11/23 - 2009/10/31);New Brunswick (1994/11/23 - 2009/10/31);New Brunswick;M;Liberal Party of Canada (1994/11/23 - 2009/10/31)
Buchanan, John M.;1931-04-21;Senator (1990/09/12 - 2006/04/22);Halifax (1990/09/12 - 2006/04/22);Nova Scotia;M;"Conservative Party of Canada (2004/02/02 - 2006/04/22)
Progressive Conservative Party (1990/09/12 - 2004/02/01)"
Bulte, Sarmite D.;1953-09-26;MP (1997/06/02 - 2006/01/22);Parkdale--High Park (1997/06/02 - 2006/01/22);Ontario;F;Liberal Party of Canada (1997/06/02 - 2006/01/22)
Byrne, Gerry;1966-09-26;MP (1996/03/25 - 2015/10/18);Humber--St. Barbe--Baie Verte (1996/03/25 - 2015/10/18);Newfoundland and Labrador;M;Liberal Party of Canada (1996/03/25 - 2015/10/18)
Cadman, Chuck;1948-02-20;MP (1997/06/02 - 2005/07/09);Surrey North (1997/06/02 - 2005/07/09);British Columbia;M;"Independent (2004/04/28 - 2005/07/09)
Conservative Party of Canada (2003/12/23 - 2004/04/27)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)"
Callbeck, Catherine S.;1939-07-24;"MP (1988/11/21 - 1993/01/25)
Senator (1997/09/22 - 2014/07/25)";"Prince Edward Island (1997/09/22 - 2014/07/25)
Malpeque (1988/11/21 - 1993/01/25)";"Prince Edward Island
Prince Edward Island";F;"Liberal Party of Canada (1997/09/22 - 2014/07/25)
Liberal Party of Canada (1988/11/21 - 1993/01/25)"
Campbell, Larry W.;1948-02-27;Senator (2005/08/02 - );British Columbia (2005/08/02 - );British Columbia;M;"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/02 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/06 - 2016/06/12)
Liberal Party of Canada (2005/08/02 - 2016/04/05)"
Cannis, John;1951-11-03;MP (1993/10/25 - 2011/05/01);Scarborough Centre (1993/10/25 - 2011/05/01);Ontario;M;Liberal Party of Canada (1993/10/25 - 2011/05/01)
Cardin, Serge;1950-07-01;MP (1998/09/14 - 2011/05/01);Sherbrooke (1998/09/14 - 2011/05/01);Quebec;M;Bloc Québécois (1998/09/14 - 2011/05/01)
Carney, Pat;1935-05-25;"MP (1980/02/18 - 1988/11/20)
Senator (1990/08/30 - 2008/01/31)";"British Columbia (1990/08/30 - 2008/01/31)
Vancouver Centre (1980/02/18 - 1988/11/20)";"British Columbia
British Columbia";F;"Conservative Party of Canada (2004/02/02 - 2008/01/31)
Progressive Conservative Party (1990/08/30 - 2004/02/01)
Progressive Conservative Party (1980/02/18 - 1988/11/20)"
Carr, Gary;1955-08-13;MP (2004/06/28 - 2006/01/22);Halton (2004/06/28 - 2006/01/22);Ontario;M;Liberal Party of Canada (2004/06/28 - 2006/01/22)
Carrie, Colin;1962-04-10;MP (2004/06/28 - );Oshawa (2004/06/28 - );Ontario;M;Conservative Party of Canada (2004/06/28 - )
Carrier, Robert;1941-06-02;MP (2004/06/28 - 2011/05/01);Alfred-Pellan (2004/06/28 - 2011/05/01);Quebec;M;Bloc Québécois (2004/06/28 - 2011/05/01)
Carroll, M. Aileen;1944-05-31;"MP (2004/06/28 - 2006/01/22)
MP (1997/06/02 - 2004/06/27)";"Barrie (2004/06/28 - 2006/01/22)
Barrie--Simcoe--Bradford (1997/06/02 - 2004/06/27)";"Ontario
Ontario";F;Liberal Party of Canada (1997/06/02 - 2006/01/22)
Carstairs, Sharon;1942-04-25;Senator (1994/09/15 - 2011/10/17);Manitoba (1994/09/15 - 2011/10/17);Manitoba;F;Liberal Party of Canada (1994/09/15 - 2011/10/17)
Casey, William D. (Bill);1945-02-18;"MP (2015/10/19 - 2019/10/20)
MP (2004/09/01 - 2009/04/30)
MP (2004/06/28 - 2004/08/31)
MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1993/10/24)";"Cumberland--Colchester (2015/10/19 - 2019/10/20)
Cumberland--Colchester--Musquodoboit Valley (2004/09/01 - 2009/04/30)
North Nova (2004/06/28 - 2004/08/31)
Cumberland--Colchester (1997/06/02 - 2004/06/27)
Cumberland--Colchester (1988/11/21 - 1993/10/24)";"Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia";M;"Liberal Party of Canada (2015/10/19 - 2019/10/20)
Independent (2007/06/06 - 2009/04/30)
Conservative Party of Canada (2004/02/02 - 2007/06/05)
Progressive Conservative Party (1997/06/02 - 2004/02/01)
Progressive Conservative Party (1988/11/21 - 1993/10/24)"
Casson, Rick;1948-12-29;MP (1997/06/02 - 2011/05/01);Lethbridge (1997/06/02 - 2011/05/01);Alberta;M;"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)"
Catterall, Marlene;1939-02-28;"MP (1997/06/02 - 2006/01/22)
MP (1988/11/21 - 1997/06/01)";"Ottawa West--Nepean (1997/06/02 - 2006/01/22)
Ottawa West (1988/11/21 - 1997/06/01)";"Ontario
Ontario";F;Liberal Party of Canada (1988/11/21 - 2006/01/22)
Chamberlain, Brenda;1952-04-08;"MP (2004/06/28 - 2008/04/07)
MP (1993/10/25 - 2004/06/27)";"Guelph (2004/06/28 - 2008/04/07)
Guelph--Wellington (1993/10/25 - 2004/06/27)";"Ontario
Ontario";F;Liberal Party of Canada (1993/10/25 - 2008/04/07)
Champagne, Andrée;1939-07-16;"MP (1984/09/04 - 1993/10/24)
Senator (2005/08/02 - 2014/07/17)";"Grandville (2005/08/02 - 2014/07/17)
Saint-Hyacinthe--Bagot (1984/09/04 - 1993/10/24)";"Quebec
Quebec";F;"Conservative Party of Canada (2005/08/02 - 2014/07/17)
Progressive Conservative Party (1984/09/04 - 1993/10/25)"
Chan, Raymond;1951-10-24;"MP (2004/06/28 - 2008/10/13)
MP (1993/10/25 - 2000/11/26)";"Richmond (2004/06/28 - 2008/10/13)
Richmond (1993/10/25 - 2000/11/26)";"British Columbia
British Columbia";M;"Liberal Party of Canada (2004/06/28 - 2008/10/13)
Liberal Party of Canada (1993/10/25 - 2000/11/26)"
Chaput, Maria;1942-05-06;Senator (2002/12/12 - 2016/02/29);Manitoba (2002/12/12 - 2016/02/29);Manitoba;F;Liberal Party of Canada (2002/12/12 - 2016/02/29)
Charette-Poulin, Marie-P.;1945-06-20;Senator (1995/09/21 - 2015/04/17);Northern Ontario (1995/09/21 - 2015/04/17);Ontario;F;Liberal Party of Canada (1995/09/21 - 2015/04/17)
Chatters, David Cameron;1946-04-14;"MP (2005/02/24 - 2006/01/22)
MP (2004/09/01 - 2005/02/23)
MP (2004/06/28 - 2004/08/31)
MP (1993/10/25 - 2004/06/27)";"Westlock--St. Paul (2005/02/24 - 2006/01/22)
Battle River (2004/09/01 - 2005/02/23)
Westlock--St. Paul (2004/06/28 - 2004/08/31)
Athabasca (1993/10/25 - 2004/06/27)";"Alberta
Alberta
Alberta
Alberta";M;"Conservative Party of Canada (2003/12/23 - 2006/01/22)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Chong, Michael D.;1971-11-21;MP (2004/06/28 - );Wellington--Halton Hills (2004/06/28 - );Ontario;M;Conservative Party of Canada (2004/06/28 - )
Christensen, Ione;1933-10-09;Senator (1999/09/02 - 2006/12/31);Yukon (1999/09/02 - 2006/12/31);Yukon;F;Liberal Party of Canada (1980/02/18 - 2006/12/31)
Christopherson, David;1954-10-04;MP (2004/06/28 - 2019/10/20);Hamilton Centre (2004/06/28 - 2019/10/20);Ontario;M;New Democratic Party (2004/06/28 - 2019/10/20)
Clavet, Roger;1953-02-07;MP (2004/06/28 - 2006/01/22);Louis-Hébert (2004/06/28 - 2006/01/22);Quebec;M;Bloc Québécois (2004/06/28 - 2006/01/22)
Cleary, Bernard;1937-05-07;MP (2004/06/28 - 2006/01/22);Louis-Saint-Laurent (2004/06/28 - 2006/01/22);Quebec;M;Bloc Québécois (2004/06/28 - 2006/01/22)
Cochrane, Ethel M.;1937-09-22;Senator (1986/11/17 - 2012/09/23);Newfoundland and Labrador (1986/11/17 - 2012/09/23);Newfoundland and Labrador;F;"Conservative Party of Canada (2004/02/02 - 2012/09/23)
Progressive Conservative Party (1986/11/17 - 2004/02/01)"
Coderre, Denis;1963-07-24;MP (1997/06/02 - 2013/06/02);Bourassa (1997/06/02 - 2013/06/02);Quebec;M;Liberal Party of Canada (1997/06/02 - 2013/06/02)
Comartin, Joe;1947-12-25;"MP (2004/06/28 - 2015/10/18)
MP (2000/11/27 - 2004/06/27)";"Windsor--Tecumseh (2004/06/28 - 2015/10/18)
Windsor--St. Clair (2000/11/27 - 2004/06/27)";"Ontario
Ontario";M;New Democratic Party (2000/11/27 - 2015/10/18)
Comeau, Gerald J.;1946-01-31;"MP (1984/09/04 - 1988/11/20)
Senator (1990/08/30 - 2013/11/30)";"Nova Scotia (1990/08/30 - 2013/11/30)
South West Nova (1984/09/04 - 1988/11/20)";"Nova Scotia
Nova Scotia";M;"Conservative Party of Canada (2004/02/02 - 2013/11/30)
Progressive Conservative Party (1990/08/30 - 2004/02/01)
Progressive Conservative Party (1984/09/04 - 1988/11/20)"
Comuzzi, Joseph R. (Joe);1933-04-04;"MP (1998/06/18 - 2008/10/13)
MP (1988/11/21 - 1998/06/17)";"Thunder Bay--Superior North (1998/06/18 - 2008/10/13)
Thunder Bay--Nipigon (1988/11/21 - 1998/06/17)";"Ontario
Ontario";M;"Conservative Party of Canada (2007/06/27 - 2008/10/13)
Independent (2007/03/21 - 2007/06/26)
Liberal Party of Canada (1988/11/21 - 2007/03/20)"
Cook, Joan;1934-10-05;Senator (1998/03/06 - 2009/10/06);Newfoundland and Labrador (1998/03/06 - 2009/10/06);Newfoundland and Labrador;F;Liberal Party of Canada (1998/03/06 - 2009/10/06)
Cools, Anne C.;1943-08-11;Senator (1984/01/13 - 2018/08/11);"Toronto Centre -York (2001/02/15 - 2018/08/11)
Toronto Centre (1984/01/13 - 2001/02/14)";"Ontario
Ontario";F;"Independent Senators Group (2017/06/01 - 2018/08/11)
Non-affiliated (Independent Senators Group) (2017/03/10 - 2017/05/31)
Non-affiliated (2016/06/13 - 2017/03/09)
Independent (2010/07/08 - 2016/06/12)
No political alignment (2007/12/13 - 2010/07/07)
Conservative Party of Canada (2004/06/08 - 2007/12/12)
Liberal Party of Canada (1984/01/13 - 2004/06/07)"
Corbin, Eymard G.;1934-08-01;"MP (1968/06/25 - 1984/07/08)
Senator (1984/07/09 - 2009/08/02)";"Grand-Sault (1984/07/09 - 2009/08/02)
Madawaska--Victoria (1968/06/25 - 1984/07/08)";"New Brunswick
New Brunswick";M;Liberal Party of Canada (1968/06/25 - 2009/08/02)
Cordy, Jane;1950-07-01;Senator (2000/06/09 - );Nova Scotia (2000/06/09 - );Nova Scotia;F;"Non-affiliated (2019/11/18 - )
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2000/06/09 - 2019/11/13)"
Côté, Guy;1965-12-29;"MP (2004/09/01 - 2006/01/22)
MP (2004/06/28 - 2004/08/31)";"Portneuf--Jacques-Cartier (2004/09/01 - 2006/01/22)
Portneuf (2004/06/28 - 2004/08/31)";"Quebec
Quebec";M;Bloc Québécois (2002 - 2006/01/22)
Cotler, Irwin;1940-05-07;MP (1999/11/15 - 2015/10/18);Mount Royal (1999/11/15 - 2015/10/18);Quebec;M;Liberal Party of Canada (1999/11/15 - 2015/10/18)
